frame,time_s,status,wrist_x,wrist_y,wrist_z,shoulder_vis,elbow_vis,wrist_vis,shoulder_yaw,shoulder_pitch,elbow_flex,torso_yaw,torso_ok,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6
100,1768672035.831722,Pose: tracking,-0.015105324797332287,1.6154955625534058,-0.5735315084457397,0.999224841594696,0.48783040046691895,0.33629900217056274,-1.8761999506511182,-1.8822287931518027,1.0506498999196316,0.023908480679805555,0,0.0464321059060739,3.1290945126641176,-1.1548601807284622,0.0,0.0,0.0,-0.0028523544110155047,0.2782101076351685,-1.3793981308162098,1.923875548731632e-05,-0.0003123214425716005,7.158214544608076e-05
105,1768672036.00393,Pose: holding,-0.01973823457956314,1.646569848060608,-1.1655669212341309,0.9991050958633423,0.5044934153556824,0.21453659236431122,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.0030792414462683594,0.2896879286571922,-1.3535310130839469,-0.001589276192467819,-0.027767443873529668,-0.0021769046093519815
110,1768672036.185622,Pose: holding,-0.004446057602763176,1.6578301191329956,-1.6724345684051514,0.9990243911743164,0.6044541001319885,0.23179425299167633,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.0033122666229019777,0.2928985357661171,-1.3321832816096444,-0.002823921143370712,-0.04897021848842946,-0.004165781884733036
115,1768672036.358294,Pose: holding,0.008730304427444935,1.6392326354980469,-1.352108120918274,0.9990143775939941,0.6655834913253784,0.23602882027626038,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.0036156899760548342,0.3023958003581686,-1.29347299190605,-0.0024062321433249846,-0.04276517857055976,-0.0036929335738552383
120,1768672036.535975,Pose: holding,0.02285948023200035,1.5939865112304688,-1.351074457168579,0.9986639618873596,0.6581107974052429,0.20554757118225098,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.003946384085589243,0.3048758085587737,-1.258623152614492,-0.001825582546884887,-0.03269606895296833,-0.002854019136718193
125,1768672036.71347,Pose: holding,0.041842520236968994,1.5915709733963013,-1.3266664743423462,0.9982525110244751,0.6422904133796692,0.2015344798564911,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.004279940213843149,0.30523092390909673,-1.2314540590988399,-0.0013882185733821396,-0.025181630021551545,-0.002206695920543379
130,1768672036.889224,Pose: holding,0.036893706768751144,1.5884896516799927,-1.221811056137085,0.9979919195175171,0.6535078883171082,0.18920616805553436,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.0046139805993939634,0.30527750881941434,-1.2102321458726408,-0.001058529121469099,-0.019558100995669337,-0.0017073365117822935
135,1768672037.0645509,Pose: holding,0.009543790481984615,1.5860103368759155,-1.5474807024002075,0.9984579682350159,0.6683473587036133,0.1825963407754898,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.0049481771132805635,0.30528327885640544,-1.1936490276638516,-0.0008099743603306661,-0.01534807659552431,-0.0013221070767404008
140,1768672037.243257,Pose: holding,-0.01796017959713936,1.6770535707473755,-1.0100408792495728,0.9988771080970764,0.6718635559082031,0.16358034312725067,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.005282498967690149,0.3052867228980042,-1.180689357341388,-0.000622597839937549,-0.012196691861362692,-0.001024920302336697
145,1768672037.417472,Pose: holding,0.009794372133910656,1.6771066188812256,-0.9066280126571655,0.9992440342903137,0.573606550693512,0.11794910579919815,nan,nan,nan,nan,0,0.07032698269639213,3.1372736281660294,-1.1264234165759146,0.0,0.0,0.0,-0.005616956699947881,0.30529266431772323,-1.170560926990168,-0.00048134916946916483,-0.00983834890709842,-0.0007956530435745426
